AD,ZipCodes
AD23,"93221,93244,93262,93265,93271,93286,93292,93602,93603,93605,93611,93612,93615,93616,93619,93621,93626,93628,93633,93634,93641,93646,93647,93649,93650,93651,93654,93657,93664,93667,93675,93701,93704,93705,93706,93710,93711,93720,93722,93723,93725,93726,93727,93730,93737,93740"
AD24,"94018,94019,94020,94021,94022,94024,94025,94027,94028,94040,94041,94043,94060,94061,94062,94063,94074,94085,94086,94087,94089,94301,94303,94304,94305,94306,95014,95050"
AD25,"94089,94536,94538,94539,94550,94555,94560,95002,95013,95035,95037,95050,95051,95052,95053,95054,95110,95111,95112,95116,95126,95127,95131,95132,95133,95134,95135,95137,95138,95140,95148"
AD26,"89019,92328,92384,92389,93000,93201,93205,93207,93208,93212,93215,93218,93219,93221,93223,93226,93230,93235,93238,93240,93244,93247,93255,93256,93257,93258,93260,93261,93262,93265,93267,93270,93272,93274,93277,93283,93285,93286,93287,93291,93292,93306,93307,93308,93513,93514,93518,93522,93526,93527,93530,93542,93545,93549,93562,93592,93603,93615,93618,93631,93633,93646,93647,93654,93666,93673"
AD27,"95110,95111,95112,95113,95116,95121,95122,95123,95125,95126,95127,95135,95136,95138,95140,95148,95192"
AD28,"94040,94086,95008,95014,95030,95032,95033,95044,95050,95070,95110,95117,95118,95120,95123,95124,95125,95126,95128,95129,95130,95136,95155,95159"
AD29,"93906,93907,93908,93923,93924,93933,93940,93943,93944,93950,93953,93955,94060,95003,95004,95005,95006,95007,95010,95012,95013,95017,95018,95020,95032,95033,95037,95039,95041,95042,95046,'95060,95062,95064,95065,95066,95073,95076,95119,95120,95123,95136,95137,95138,95139,95141,98144"
AD30 ,"93210,93426,93450,93451,93461,93901,93905,93906,93907,93908,93920,93923,93924,93925,93926,93927,93928,93930,93932,93940,93954,93960,93962,95004,95019,95020,95023,95037,95043,95045,95046,95075,95076"
AD31,"93210,93234,93242,93606,93607,93608,93609,93616,93618,93620,93622,93624,93625,93627,93630,93631,93640,93646,93647,93648,93652,93654,93656,93657,93660,93662,93668,93701,93702,93703,93704,93705,93706,93721,93722,93723,93725,93726,93727,93728"
AD32,"93000,93202,93203,93204,93206,93212,93215,93216,93230,93239,93241,93242,93245,93246,93249,93250,93251,93263,93266,93274,93280,93301,93304,93305,93306,93307,93308,93309,93311,93313,93314,93461,93631,93656"
AD33,"92242,92267,92268,92277,92280,92284,92285,92301,92304,92305,92307,92308,92309,92310,92311,92314,92315,92317,92321,92322,92323,92325,92326,92327,92332,92333,92338,92339,92341,92342,92344,92345,92346,92347,92352,92356,92359,92363,92364,92365,92366,92368,92371,92372,92378,92382,92385,92386,92391,92392,92394,92395,92398,92399,92404,93516,93555,93558,93562"
AD34 ,"93000,93203,93220,93222,93224,93225,93243,93251,93252,93255,93263,93268,93276,93283,93301,93304,93305,93306,93307,93308,93309,93311,93312,93313,93314,93501,93518,93519,93527,93528,93531,93554,93555,93560,93561"
AD35,"93252,93254,93401,93402,93405,93407,93408,93410,93420,93421,93422,93424,93426,93428,93429,93430,93432,93433,93434,93435,93436,93437,93440,93442,93444,93445,93446,93447,93449,93451,93452,93453,93454,93455,93456,93458,93461,93465"
AD36,"91350,91351,91354,91390,92301,92371,92372,92397,93000,93243,93301,93501,93505,93510,93516,93523,93524,93532,93534,93535,93536,93543,93544,93550,93551,93552,93553,93560,93563,93591"
AD37,"93001,93003,93004,93009,93010,93013,93015,93021,93022,93023,93030,93033,93035,93036,93040,93060,93063,93066,93067,93101,93103,93105,93106,93107,93108,93109,93110,93111,93117,93225,93252,93254,93427,93436,93440,93441,93460,93463"
AD38,"91304,91310,91311,91321,91324,91325,91326,91342,91344,91350,91351,91354,91355,91381,91384,91387,91390,91740,93063,93064,93065,93510,96203"
AD39,"91040,91042,91214,91321,91331,91340,91342,91344,91345,91352,91387,91390,91402,91504,91505,91601,91602,91605,91606,91607"
AD40,"91701,91730,91737,91739,91759,91784,92318,92324,92345,92346,92350,92354,92357,92358,92359,92369,92371,92373,92374,92399,92404,92405,92407,92408,92410,92411,92415"
AD41,"90007,90042,91001,91007,91011,91016,91024,91030,91101,91103,91104,91105,91106,91107,91108,91125,91701,91702,91711,91724,91737,91740,91750,91759,91761,91773,91784,91786,93550"
AD42,"92203,92210,92211,92220,92223,92230,92240,92252,92253,92256,92258,92260,92262,92264,92268,92270,92277,92282,92284,92285,92320,92359,92373,92374,92399,92543,92544,92545,92549,92555,92567,92582,92583"
AD43,"90004,90026,90027,90028,90029,90038,90039,90068,90744,91011,91020,91042,91046,91201,91202,91203,91204,91205,91206,91207,91208,91210,91214,91342,91352,91501,91502,91503,91504,91505,91506,91521,91522,93550"
AD44,"90265,91320,91360,91361,91362,91377,93010,93012,93021,93030,93033,93035,93036,93041,93042,93043,93065,93066"
AD45,"90049,90290,91301,91302,91303,91304,91306,91307,91311,91316,91324,91325,91330,91335,91343,91351,91356,91357,91364,91367,91371,91403,91436,91604"
AD46,"90025,90046,90068,90077,90210,91205,91325,91331,91343,91344,91345,91362,91401,91402,91403,91405,91406,91411,91423,91499,91601,91602,91604,91605,91606,91607,91608,95076,95252"
AD47,"92313,92316,92324,92335,92336,92337,92358,92376,92377,92401,92407,92408,92410,92411,92509"
AD48,"91006,91008,91010,91016,91702,91706,91722,91723,91724,91731,91732,91733,91740,91741,91744,91746,91773,91790,91791,91792"
AD49,"90640,91006,91007,91016,91108,91731,91732,91733,91754,91755,91770,91775,91776,91780,91801,91803"
AD50,"90004,90005,90010,90016,90019,90020,90025,90028,90035,90036,90038,90039,90042,90043,90046,90048,90049,90064,90068,90069,90077,90094,90210,90211,90212,90263,90265,90272,90277,90290,90291,90401,90402,90403,90404,90405,91301,91302,91344,91361,91362,91364,91505,91607"
AD51,"90004,90012,90017,90022,90023,90026,90029,90031,90032,90033,90039,90040,90041,90042,90057,90063,90065,90089,90640,91105,91202,91205"
AD52,"91708,91709,91710,91711,91750,91761,91762,91763,91764,91766,91767,91768,91789,92335,92337,92832,92883"
AD53,"90001,90004,90005,90006,90007,90008,90010,90012,90013,90014,90015,90017,90018,90019,90020,90021,90023,90029,90033,90038,90057,90058,90063,90071,90255,90270,91109"
AD54,"90008,90016,90018,90019,90024,90025,90034,90035,90043,90045,90047,90049,90056,90057,90062,90064,90066,90067,90073,90077,90095,90230,90232,90291,90292,90302,90305,91335,91405"
AD55,"90631,91708,91709,91724,91748,91765,91768,91789,91791,91792,92821,92823,92870,92886,92887"
AD56,"92201,92203,92211,92222,92225,92226,92227,92231,92233,92234,92236,92239,92240,92241,92243,92249,92250,92251,92254,92257,92258,92259,92264,92266,92273,92274,92275,92276,92281,92283"
AD57,"90012,90601,90602,90603,90604,90605,90606,90621,90631,90638,90639,90650,90670,90808,91733,91744,91745,91746,91748,91789,91792"
